id,text,retweet_count,reply_count,like_count,quote_count
1587977983712632832,RT @ABC30: One person has died following a crash involving a motorcycle in Visalia Wednesday evening. https://t.co/IASxFVrg8L,1,0,0,0
1587977901735133191,One person has died following a crash involving a motorcycle in Visalia Wednesday evening. https://t.co/IASxFVrg8L,1,0,0,0
1587977153131552771,"CRASH  - TONKIN HIGHWAY SOUTHBOUND AT COLLIER ROAD, BAYSWATER 
Right lane blocked 
Traffic heavy back to Walter Road East  https://t.co/8DLRvpt2a7 #perthtraffic https://t.co/1a2lzQneB3",0,0,0,1
1587976957311868928,https://t.co/KgUSAoVSOT,0,0,0,0
1587976861820325893,Watertown Fire Rescue responded to a two-vehicle crash today around 1:00 pm on west highway 212 and 21st street west. It was reported the vehicles had “heavy front end damage.” https://t.co/UUzyu7PrSz,0,0,0,0
1587976659663306754,"2022-11-02 20:57:00 | PED STRUCK | EPPING, NH | IAO 265 CALEF HIGHWAY (RTE 125) | MOTOR VEHICLE CRASH INVOLVING A PEDESTRIAN STRUCK WITH INJURY IN FRONT OF EVERSOURCE @RockinghamAlert | MI01",0,0,0,0
1587976097144410113,Well that's what all these sirens have been about that's why I tell everybody the first day of snow don't drive if you don't have to there is a big car crash on the Seward highway S. of Anchorage so if you're heading up you might want to take a detour cuz it is 5:10 busy time.,0,0,0,0
1587974982566612994,"RT @vivianosaurus: Highway Design PRANKS #327 

Put the sidewalk on the inside of the crash barrier 🤣 🚧 🚑 🤭 https://t.co/fWQwxo9BpM",1,0,0,0
1587974519368597505,"Highway Design PRANKS #327 

Put the sidewalk on the inside of the crash barrier 🤣 🚧 🚑 🤭 https://t.co/fWQwxo9BpM",1,2,24,0
1587974474594402304,Fcuk the cars that drive below 60 on the highway like just crash and never drive again,0,0,0,0
1587973690913947649,@LyftGyft @TheSmokingTire @PhenomenalPoto Make sure to keep your hands on the wheel on the slightest bend of a highway. Wouldn’t wanna crash into a car next to you. And I take notes just fine. You comment on every post hating teslas. Should get a life bro.,0,1,0,0
1587973499343310850,"Epping, NH *PEDESTRIAN STRUCK* IAO 265 Calef Highway (Rte 125) - Motor vehicle crash involving a pedestrian struck with injury in front of Eversource - 154.190 - 11/2 - 20:59 #NHTraffic #Rte125 #EppingNH",0,0,1,0
1587972213503938560,"RT @surfcityphoto: #Florida Highway Patrol investigates cause of deadly #Tesla, minivan crash in Martin County https://t.co/2acjW71Lc3",1,0,0,0
1587971968900399104,"RT @JimKVRR: The North Dakota Highway Patrol says a hit-and-run crash that killed a man following a street dance in McHenry last weekend ""h…",2,0,0,0
1587971952521666560,Watsonville pedestrian seriously injured in Highway 129 crash https://t.co/QzA7f5MN5K,0,0,0,0
1587970911445323776,RT @adndotcom: Traffic on the southbound Seward Highway near the Dimond Boulevard overpass was being diverted Wednesday afternoon following…,1,0,0,0
1587970421525479424,"Traffic on the southbound Seward Highway near the Dimond Boulevard overpass was being diverted Wednesday afternoon following a multi-vehicle crash involving injuries, police said. https://t.co/HN2PkIk004",1,0,3,0
1587968421504884739,"""It was later determined he had been ejected about 150-200 feet from a vehicle found — heavily damaged — in the area. The driver, a 20-year-old woman, had been found with the vehicle...""

The number of auto fatalities in our area is ridiculous this year. 
 https://t.co/F0a19p4DAu",0,1,0,0
1587967604173701120,TRAFFIC ALERT: A crash is blocking Eastside Highway near Fairgrounds Road in Hamilton. Traffic on Fairgrounds Road is being diverted and not allowed to turn onto Eastside Highway. https://t.co/NeEqlhdJlc,0,0,0,0
1587967406273490945,"@wordsandmuses I had a spooky one during my nap this afternoon. We were driving down a dark highway with Japanese NOH masks on the markers. There was a loud crash of electricity/lightning, and flying saucers were above us! They were herding us with lightning! I awakened with a scream. Too real!",0,0,0,0
1587966177942421507,"Two Males Useless after Two-Automobile Crash on Tierra Del Sol Highway [San Diego, CA] https://t.co/gYI9sCHwVr",0,0,0,0
1587965568765902849,@elonmusk It really is the crash along the side of the highway of society,0,0,0,0
